submitted_item	validated_id	current_symbol
FBgn0266228	FBgn0266228	lncRNA:CR44923
FBgn0027570	FBgn0027570	Nep2
FBgn0026620	FBgn0026620	tacc
FBgn0267812	FBgn0267812	asRNA:CR46137
FBgn0010750	FBgn0010750	atms
FBgn0037275	FBgn0037275	CG14655
FBgn0260794	FBgn0260794	ctrip
FBgn0026417	FBgn0026417	Hus1-like
FBgn0037279	FBgn0037279	Gmppb
FBgn0037282	FBgn0037282	CG14657
FBgn0003002	FBgn0003002	opa
FBgn0004913	FBgn0004913	Gnf1
FBgn0265082	FBgn0265082	Cdep
FBgn0266698	FBgn0266698	lncRNA:CR45188
FBgn0004183	FBgn0004183	snRNA:U1:82Eb
FBgn0004436	FBgn0004436	Ubc6
FBgn0250839	FBgn0250839	Jhbp2
FBgn0037290	FBgn0037290	Jhbp1
FBgn0263626	FBgn0263626	lncRNA:CR43635
FBgn0010313	FBgn0010313	corto
FBgn0037293	FBgn0037293	RabGGTa
FBgn0259212	FBgn0259212	cno
FBgn0263018	FBgn0263018	snRNA:U4atac
FBgn0037297	FBgn0037297	CG1116
FBgn0037298	FBgn0037298	Sccpdh1
FBgn0037299	FBgn0037299	Vps37B
FBgn0040208	FBgn0040208	Kat60
FBgn0037301	FBgn0037301	Mms19
FBgn0260462	FBgn0260462	CtsF
FBgn0037305	FBgn0037305	Enoph
FBgn0264785	FBgn0264785	Hph
FBgn0013576	FBgn0013576	mtd
FBgn0037312	FBgn0037312	CG11999
FBgn0037313	FBgn0037313	CG1161
FBgn0250746	FBgn0250746	Prosβ7
FBgn0037315	FBgn0037315	Cerk
FBgn0003275	FBgn0003275	Polr2F
FBgn0037317	FBgn0037317	CG14667
FBgn0041707	FBgn0041707	7B2
FBgn0001311	FBgn0001311	kkv
FBgn0264712	FBgn0264712	CG1172
FBgn0037323	FBgn0037323	CG2663
FBgn0037327	FBgn0037327	PEK
FBgn0037328	FBgn0037328	RpL35A
FBgn0037329	FBgn0037329	POLDIP2
FBgn0037330	FBgn0037330	mRpL44
FBgn0011715	FBgn0011715	Snr1
FBgn0037332	FBgn0037332	Hcs
FBgn0015402	FBgn0015402	ksr
FBgn0051550	FBgn0051550	CG31550
FBgn0010051	FBgn0010051	Itpr
FBgn0037336	FBgn0037336	CG2519
FBgn0014342	FBgn0014342	mia
FBgn0086768	FBgn0086768	Pcmt
FBgn0037338	FBgn0037338	Snm1
FBgn0037339	FBgn0037339	Pi4KIIα
FBgn0037340	FBgn0037340	CG14671
FBgn0037341	FBgn0037341	CG12746
FBgn0037342	FBgn0037342	CG2931
FBgn0041191	FBgn0041191	Rheb
FBgn0023023	FBgn0023023	CRMP
FBgn0037344	FBgn0037344	CG2926
FBgn0037345	FBgn0037345	PolZ2
FBgn0014366	FBgn0014366	noi
FBgn0283535	FBgn0283535	Vha26
FBgn0250753	FBgn0250753	kra
FBgn0082961	FBgn0082961	snoRNA:Ψ28S-3385b
FBgn0082962	FBgn0082962	snoRNA:Ψ28S-3385a
FBgn0082978	FBgn0082978	snoRNA:Ψ28S-3091b
FBgn0082979	FBgn0082979	snoRNA:Ψ28S-3091a
FBgn0082954	FBgn0082954	snoRNA:Ψ28S-3571
FBgn0086662	FBgn0086662	snoRNA:Ψ28S-3186
FBgn0082988	FBgn0082988	snoRNA:Ψ28S-2442b
FBgn0082989	FBgn0082989	snoRNA:Ψ28S-2442a
FBgn0037347	FBgn0037347	SecS
FBgn0261004	FBgn0261004	asl
FBgn0017550	FBgn0017550	Rga
FBgn0044823	FBgn0044823	Spec2
FBgn0037350	FBgn0037350	Dph4
FBgn0037351	FBgn0037351	RpL13A
FBgn0260002	FBgn0260002	snoRNA:Me28S-U2134b
FBgn0051549	FBgn0051549	CG31549
FBgn0037354	FBgn0037354	CG12171
FBgn0051548	FBgn0051548	CG31548
FBgn0037356	FBgn0037356	CG12170
FBgn0027951	FBgn0027951	MTA1-like
FBgn0262125	FBgn0262125	Sec23
FBgn0037358	FBgn0037358	elm
FBgn0037359	FBgn0037359	MED27
FBgn0037360	FBgn0037360	CG2182
FBgn0264902	FBgn0264902	asRNA:CR44093
FBgn0046222	FBgn0046222	Wdr33
FBgn0010772	FBgn0010772	Xe7
FBgn0037363	FBgn0037363	Atg17
FBgn0037364	FBgn0037364	Rab23
FBgn0037368	FBgn0037368	CG1239
FBgn0037369	FBgn0037369	CG2100
FBgn0037370	FBgn0037370	CG1236
FBgn0037371	FBgn0037371	Sym
FBgn0027497	FBgn0027497	Madm
FBgn0037372	FBgn0037372	CG2091
FBgn0266672	FBgn0266672	Sec8
FBgn0027608	FBgn0027608	CG2082
FBgn0037374	FBgn0037374	jagn
FBgn0037376	FBgn0037376	Hat1
FBgn0028690	FBgn0028690	Rpn5
FBgn0037377	FBgn0037377	CG1218
FBgn0037378	FBgn0037378	PSMG1
FBgn0037379	FBgn0037379	CG10979
FBgn0037382	FBgn0037382	Hpr1
FBgn0037383	FBgn0037383	Sec20
FBgn0037384	FBgn0037384	dgrn
FBgn0029088	FBgn0029088	disp
FBgn0028436	FBgn0028436	ECSIT
FBgn0037391	FBgn0037391	CG2017
FBgn0003261	FBgn0003261	Rm62
FBgn0037395	FBgn0037395	CG10280
FBgn0026077	FBgn0026077	Gasp
FBgn0266234	FBgn0266234	lncRNA:CR44929
FBgn0046878	FBgn0046878	Obp83cd
FBgn0046876	FBgn0046876	Obp83ef
FBgn0046875	FBgn0046875	Obp83g
FBgn0051559	FBgn0051559	CG31559
FBgn0037406	FBgn0037406	Osi1
FBgn0037409	FBgn0037409	Osi24
FBgn0037410	FBgn0037410	Osi2
FBgn0037411	FBgn0037411	Osi3
FBgn0037412	FBgn0037412	Osi4
FBgn0037413	FBgn0037413	Osi5
FBgn0027527	FBgn0027527	Osi6
FBgn0037414	FBgn0037414	Osi7
FBgn0037415	FBgn0037415	Osi8
FBgn0037416	FBgn0037416	Osi9
FBgn0037417	FBgn0286976	Osi10a
FBgn0037417	FBgn0286977	Osi10b
FBgn0037418	FBgn0037418	Osi11
FBgn0037419	FBgn0037419	Osi12
FBgn0037420	FBgn0037420	CG15597
FBgn0037422	FBgn0037422	Osi13
FBgn0040279	FBgn0040279	Osi14
FBgn0037424	FBgn0037424	Osi15
FBgn0037427	FBgn0037427	Osi17
FBgn0037428	FBgn0037428	Osi18
FBgn0037429	FBgn0037429	Osi19
FBgn0037430	FBgn0037430	Osi20
FBgn0037433	FBgn0037433	CG17919
FBgn0261789	FBgn0261789	SmD2
FBgn0037435	FBgn0037435	CG18048
FBgn0267698	FBgn0267698	Pak
FBgn0261641	FBgn0261641	CG42724
FBgn0037439	FBgn0037439	CG10286
FBgn0037440	FBgn0037440	CRAT
FBgn0027514	FBgn0027514	CG1024
FBgn0010282	FBgn0010282	TfIIFα
FBgn0037442	FBgn0037442	gzl
FBgn0037443	FBgn0037443	Dmtn
FBgn0264495	FBgn0264495	gpp
FBgn0037445	FBgn0037445	CG9727
FBgn0037446	FBgn0037446	Zif
FBgn0037447	FBgn0037447	Neurochondrin
FBgn0010355	FBgn0010355	Taf1
FBgn0026566	FBgn0026566	CG1307
FBgn0262801	FBgn0262801	twr
FBgn0024912	FBgn0024912	agt
FBgn0000552	FBgn0000552	Edg84A
FBgn0004778	FBgn0004778	Ccp84Af
FBgn0004780	FBgn0004780	Ccp84Ad
FBgn0063127	FBgn0063127	lncRNA:CR33938
FBgn0004782	FBgn0004782	Ccp84Ab
FBgn0004783	FBgn0004783	Ccp84Aa
FBgn0000071	FBgn0000071	Ama
FBgn0266237	FBgn0266237	lncRNA:CR44932
FBgn0260642	FBgn0260642	Antp
FBgn0037465	FBgn0037465	CG1105
FBgn0037466	FBgn0037466	CG1965
FBgn0037467	FBgn0037467	Ufl1
FBgn0037468	FBgn0037468	CG1943
FBgn0010774	FBgn0010774	Ref1
FBgn0037469	FBgn0037469	Dpck
FBgn0037470	FBgn0037470	Tailor
FBgn0267567	FBgn0267567	asRNA:CR45907
FBgn0003884	FBgn0003884	αTub84B
FBgn0263768	FBgn0263768	lncRNA:CR43685
FBgn0040670	FBgn0040670	e(y)2b
FBgn0261238	FBgn0261238	Alh
FBgn0037472	FBgn0037472	CG10098
FBgn0037473	FBgn0037473	CG10068
FBgn0262149	FBgn0262149	CR42875
FBgn0051248	FBgn0051248	CG31248
FBgn0037478	FBgn0037478	CG2656
FBgn0250732	FBgn0250732	gfzf
FBgn0011020	FBgn0011020	Sas-4
FBgn0037481	FBgn0037481	MAGE
FBgn0002306	FBgn0002306	sas
FBgn0037482	FBgn0037482	CG10055
FBgn0086372	FBgn0086372	lap
FBgn0037487	FBgn0037487	thw
FBgn0037489	FBgn0037489	CG1234
FBgn0037490	FBgn0037490	CG10053
FBgn0037491	FBgn0037491	CG1227
FBgn0037492	FBgn0037492	Dtwd2
FBgn0001112	FBgn0001112	Gld
FBgn0028400	FBgn0028400	Syt4
FBgn0267337	FBgn0267337	rn
FBgn0265421	FBgn0265421	lncRNA:CR44333
FBgn0045843	FBgn0045843	RacGAP84C
FBgn0265422	FBgn0265422	lncRNA:CR44334
FBgn0265423	FBgn0265423	lncRNA:CR44335
FBgn0037503	FBgn0037503	CG14598
FBgn0037504	FBgn0037504	CG1142
FBgn0043853	FBgn0043853	scaRNA:MeU5-C46
FBgn0065099	FBgn0065099	snRNA:7SKa
FBgn0015569	FBgn0015569	α-Est10
FBgn0003885	FBgn0003885	αTub84D
FBgn0037513	FBgn0037513	pyd3
FBgn0037515	FBgn0037515	Sp7
FBgn0051472	FBgn0051472	sgll
FBgn0051473	FBgn0051473	CG31473
FBgn0037525	FBgn0037525	CG17816
FBgn0037526	FBgn0037526	ArgRS-m
FBgn0037529	FBgn0037529	mRpS9
FBgn0260005	FBgn0260005	wtrw
FBgn0037530	FBgn0037530	EMC1
FBgn0024909	FBgn0024909	Taf7
FBgn0004901	FBgn0004901	Prat
FBgn0014930	FBgn0014930	Rfk
FBgn0002542	FBgn0002542	lds
FBgn0000504	FBgn0000504	dsx
FBgn0037533	FBgn0037533	CD98hc
FBgn0010401	FBgn0010401	Os-C
FBgn0037534	FBgn0037534	Elovl7
FBgn0037535	FBgn0037535	PIG-H
FBgn0266598	FBgn0266598	Kmn2
FBgn0037536	FBgn0037536	CG2698
FBgn0037537	FBgn0037537	CG2767
FBgn0037538	FBgn0037538	CG3223
FBgn0037539	FBgn0037539	CG10435
FBgn0037540	FBgn0037540	Pbp95
FBgn0037541	FBgn0037541	CG2747
FBgn0001255	FBgn0001255	ImpE3
FBgn0037544	FBgn0037544	CG11035
FBgn0010812	FBgn0288846	unc-45
FBgn0266241	FBgn0266241	lncRNA:CR44936
FBgn0262362	FBgn0262362	CG43060
FBgn0037548	FBgn0037548	CG7900
FBgn0243512	FBgn0243512	puc
FBgn0037549	FBgn0037549	CG7878
FBgn0037550	FBgn0037550	CG9667
FBgn0037551	FBgn0037551	Arl8
FBgn0001138	FBgn0001138	grn
FBgn0037552	FBgn0037552	CG7800
FBgn0267109	FBgn0267109	asRNA:CR45549
FBgn0037554	FBgn0037554	PolI
FBgn0037555	FBgn0037555	Ada2b
FBgn0037556	FBgn0037556	CG9636
FBgn0040528	FBgn0040528	CG15864
FBgn0260386	FBgn0260386	mtg
FBgn0010173	FBgn0010173	RPA1
FBgn0014861	FBgn0014861	Mcm2
FBgn0037561	FBgn0037561	CG9630
FBgn0037566	FBgn0037566	mRpL1
FBgn0265351	FBgn0265351	nac
FBgn0265101	FBgn0265101	Sgt1
FBgn0037569	FBgn0037569	tex
FBgn0037570	FBgn0037570	CG11693
FBgn0037573	FBgn0037573	CG7483
FBgn0037574	FBgn0037574	Coq2
FBgn0040529	FBgn0040529	COX7A
FBgn0004908	FBgn0004908	Arl2
FBgn0037578	FBgn0037578	PNKP
FBgn0037580	FBgn0037580	DppIII
FBgn0037581	FBgn0037581	CG7352
FBgn0261108	FBgn0261108	Atg13
FBgn0020249	FBgn0020249	stck
FBgn0037583	FBgn0037583	Veneno
FBgn0266801	FBgn0266801	CG45263
FBgn0037592	FBgn0037592	CG11737
FBgn0051453	FBgn0051453	pch2
FBgn0051450	FBgn0051450	mRpS18A
FBgn0051460	FBgn0051460	CG31460
FBgn0265318	FBgn0265318	asRNA:CR44291
FBgn0266916	FBgn0266916	Cenp-C
FBgn0024326	FBgn0024326	Mkk4
FBgn0037602	FBgn0037602	SLIRP2
FBgn0000447	FBgn0000447	Dhod
FBgn0037603	FBgn0037603	Sys1
FBgn0259992	FBgn0259992	CG42489
FBgn0263231	FBgn0263231	bel
FBgn0086679	FBgn0086679	p
FBgn0037606	FBgn0037606	CG8032
FBgn0037607	FBgn0037607	CG8036
FBgn0037608	FBgn0037608	mRpL19
FBgn0037609	FBgn0037609	Unc50
FBgn0037610	FBgn0037610	CG8043
FBgn0037611	FBgn0037611	CG11755
FBgn0037613	FBgn0037613	Cks85A
FBgn0037614	FBgn0037614	TMEM216
FBgn0037617	FBgn0037617	nom
FBgn0037619	FBgn0037619	CG8159
FBgn0037620	FBgn0037620	ranshi
FBgn0037621	FBgn0037621	M1BP
FBgn0037622	FBgn0037622	CG8202
FBgn0037623	FBgn0037623	CG9801
FBgn0037632	FBgn0037632	CCT7
FBgn0037633	FBgn0037633	CG9839
FBgn0037634	FBgn0037634	hng2
FBgn0037635	FBgn0037635	CG9837
FBgn0286516	FBgn0286516	aqz
FBgn0262604	FBgn0262604	lncRNA:CR43130
FBgn0040532	FBgn0040532	CG8369
FBgn0037637	FBgn0037637	IscU
FBgn0037638	FBgn0037638	CG8379
FBgn0262614	FBgn0262614	pyd
FBgn0011966	FBgn0011966	tRNA:Arg-TCG-2-3
FBgn0037643	FBgn0037643	ScsβA
FBgn0037644	FBgn0037644	CG11964
FBgn0286204	FBgn0286204	ich
FBgn0037646	FBgn0037646	CAHβ
FBgn0037647	FBgn0037647	RagA-B
FBgn0027503	FBgn0027503	CG11970
FBgn0260243	FBgn0260243	E(var)3-9
FBgn0037648	FBgn0037648	CG11975
FBgn0051100	FBgn0051100	CG31100
FBgn0037652	FBgn0037652	CG11980
FBgn0026380	FBgn0026380	Prosβ3
FBgn0037653	FBgn0037653	Iru
FBgn0037655	FBgn0037655	Kcmf1
FBgn0040534	FBgn0040534	Sf3b5
FBgn0037656	FBgn0037656	CG11986
FBgn0264075	FBgn0264075	tgo
FBgn0002932	FBgn0002932	neur
FBgn0037657	FBgn0037657	hyx
FBgn0010222	FBgn0010222	Nmdmc
FBgn0014018	FBgn0014018	Rel
FBgn0028708	FBgn0028708	Mst85C
FBgn0037659	FBgn0037659	Kdm2
FBgn0037660	FBgn0037660	beag
FBgn0037661	FBgn0037661	Ada
FBgn0003165	FBgn0003165	pum
FBgn0037662	FBgn0037662	CG11997
FBgn0000412	FBgn0000412	D1
FBgn0260935	FBgn0260935	Vps15
FBgn0037664	FBgn0037664	CG8420
FBgn0037665	FBgn0037665	St2
FBgn0037667	FBgn0037667	CG16734
FBgn0037669	FBgn0037669	Ibf2
FBgn0037670	FBgn0037670	Ibf1
FBgn0037671	FBgn0037671	ATP6AP2
FBgn0037672	FBgn0037672	sage
FBgn0010803	FBgn0010803	TrpRS
FBgn0285911	FBgn0285911	Vps16A
FBgn0037678	FBgn0037678	CG16749
FBgn0037679	FBgn0037679	Aduk
FBgn0037680	FBgn0037680	pasi2
FBgn0262993	FBgn0262993	lncRNA:CR43301
FBgn0266410	FBgn0266410	CG45050
FBgn0086054	FBgn0086054	snoRNA:Me18S-G1358b
FBgn0037683	FBgn0037683	CG18473
FBgn0000723	FBgn0000723	FER
FBgn0083953	FBgn0083953	CG34117
FBgn0037686	FBgn0037686	RpL34b
FBgn0037687	FBgn0037687	CG8132
FBgn0037688	FBgn0037688	CG9356
FBgn0011740	FBgn0011740	α-Man-IIa
FBgn0261552	FBgn0261552	ps
FBgn0037696	FBgn0037696	GstZ1
FBgn0037697	FBgn0037697	GstZ2
FBgn0014380	FBgn0014380	RhoL
FBgn0037700	FBgn0037700	CG8149
FBgn0267790	FBgn0267790	rump
FBgn0003205	FBgn0003205	Ras85D
FBgn0014022	FBgn0014022	Rlb1
FBgn0014023	FBgn0014023	mRpL47
FBgn0037702	FBgn0037702	CG8176
FBgn0037703	FBgn0037703	Kdm3
FBgn0000244	FBgn0000244	by
FBgn0037705	FBgn0037705	mura
FBgn0260722	FBgn0260722	lncRNA:CR42549
FBgn0037707	FBgn0037707	RnpS1
FBgn0037708	FBgn0037708	CG9386
FBgn0037709	FBgn0037709	CG8199
FBgn0024833	FBgn0024833	AP-1μ
FBgn0027950	FBgn0027950	MBD-like
FBgn0037710	FBgn0037710	CG9393
FBgn0261049	FBgn0261049	Vps45
FBgn0037713	FBgn0037713	CG16790
FBgn0037715	FBgn0037715	CG9399
FBgn0027338	FBgn0027338	Kap-α3
FBgn0037716	FBgn0037716	Son
FBgn0037717	FBgn0037717	CG8301
FBgn0037718	FBgn0037718	P58IPK
FBgn0037719	FBgn0037719	bocks
FBgn0037720	FBgn0037720	CG8312
FBgn0037721	FBgn0037721	CG9427
FBgn0037722	FBgn0037722	CG8319
FBgn0005585	FBgn0005585	Calr
FBgn0286035	FBgn0286035	sisRNA:CR46357
FBgn0037723	FBgn0037723	SpdS
FBgn0003334	FBgn0003334	Scm
FBgn0037728	FBgn0037728	p23
FBgn0028997	FBgn0028997	nmdyn-D7
FBgn0069242	FBgn0069242	eca
FBgn0051352	FBgn0051352	Unc-115a
FBgn0037734	FBgn0037734	trbd
FBgn0278604	FBgn0278604	dmt
FBgn0263477	FBgn0263477	scaRNA:ΨU1-6
FBgn0002431	FBgn0002431	hyd
FBgn0003886	FBgn0003886	αTub85E
FBgn0037737	FBgn0037737	Pnn
FBgn0085438	FBgn0085438	CG34409
FBgn0037739	FBgn0037739	CG12948
FBgn0005777	FBgn0005777	PpD3
FBgn0037741	FBgn0037741	Tti1
FBgn0037742	FBgn0037742	Rpt3R
FBgn0037743	FBgn0037743	Alg12
FBgn0286506	FBgn0286506	Mpi
FBgn0266720	FBgn0266720	Snap24
FBgn0037746	FBgn0037746	CG8478
FBgn0024330	FBgn0024330	MED6
FBgn0037747	FBgn0037747	Naa80
FBgn0037749	FBgn0037749	CG9471
FBgn0261599	FBgn0261599	RpS29
FBgn0086663	FBgn0086663	snoRNA:Ψ18S-1275
FBgn0037753	FBgn0037753	CG12947
FBgn0002868	FBgn0002868	MtnA
FBgn0037755	FBgn0037755	CG12945
FBgn0037756	FBgn0037756	CG8507
FBgn0037757	FBgn0037757	CG8516
FBgn0037758	FBgn0037758	CG9467
FBgn0037760	FBgn0037760	FBXO11
FBgn0267336	FBgn0267336	Glut4EF
FBgn0266389	FBgn0266389	lncRNA:CR45029
FBgn0037770	FBgn0037770	Art4
FBgn0037773	FBgn0037773	CG5359
FBgn0053208	FBgn0053208	Mical
FBgn0027524	FBgn0027524	CG3909
FBgn0037777	FBgn0037777	CG11722
FBgn0037778	FBgn0037778	mtTFB2
FBgn0037779	FBgn0037779	CG12811
FBgn0037780	FBgn0037780	ohgt
FBgn0028734	FBgn0028734	Fmr1
FBgn0037788	FBgn0037788	CAH7
FBgn0051477	FBgn0051477	ATPsynεL
FBgn0001321	FBgn0001321	knk
FBgn0004889	FBgn0004889	tws
FBgn0037792	FBgn0037792	TAF1B
FBgn0086359	FBgn0086359	Invadolysin
FBgn0037794	FBgn0037794	CG6254
FBgn0040238	FBgn0040238	Best1
FBgn0037796	FBgn0037796	CG12814
FBgn0025879	FBgn0025879	Timp
FBgn0037802	FBgn0037802	Sirt6
FBgn0040078	FBgn0040078	pont
FBgn0262617	FBgn0262617	Nuak
FBgn0266717	FBgn0266717	Bruce
FBgn0037809	FBgn0037809	CG12818
FBgn0037810	FBgn0037810	sle
FBgn0015396	FBgn0015396	jumu
FBgn0259938	FBgn0259938	cwo
FBgn0037814	FBgn0037814	CG6325
FBgn0024957	FBgn0024957	Irp-1B
FBgn0037815	FBgn0037815	Rrp46
FBgn0037816	FBgn0037816	CG6345
FBgn0001235	FBgn0001235	hth
FBgn0037819	FBgn0037819	Phyhd1
FBgn0262717	FBgn0262717	Skel
FBgn0020385	FBgn0020385	pug
FBgn0037822	FBgn0037822	CG14683
FBgn0051467	FBgn0051467	CG31467
FBgn0051278	FBgn0051278	CG31278
FBgn0051390	FBgn0051390	MED7
FBgn0037831	FBgn0037831	Cap-H2
FBgn0010421	FBgn0010421	TfIIFβ
FBgn0266446	FBgn0266446	CG45076
FBgn0261380	FBgn0261380	mRpL37
FBgn0260944	FBgn0260944	Rbp1
FBgn0037834	FBgn0037834	Art1
FBgn0017577	FBgn0017577	Mcm5
FBgn0037835	FBgn0037835	CG14687
FBgn0037838	FBgn0037838	TTLL15
FBgn0261053	FBgn0261053	Cad86C
FBgn0259740	FBgn0259740	CG42394
FBgn0037842	FBgn0037842	CG6567
FBgn0037843	FBgn0037843	CG4511
FBgn0037844	FBgn0037844	CG4570
FBgn0037846	FBgn0037846	CG6574
FBgn0267376	FBgn0267376	SelR
FBgn0037848	FBgn0037848	Tsp86D
FBgn0011768	FBgn0011768	Fdh
FBgn0037852	FBgn0037852	Tpc1
FBgn0037853	FBgn0037853	CG14696
FBgn0037856	FBgn0037856	Leash
FBgn0042094	FBgn0042094	Ak3
FBgn0037855	FBgn0037855	CG6621
FBgn0040251	FBgn0040251	Ugt302K1
FBgn0040259	FBgn0040259	Ugt302C1
FBgn0027584	FBgn0027584	CG4757
FBgn0261808	FBgn0261808	cu
FBgn0037873	FBgn0037873	SdhC
FBgn0037874	FBgn0037874	Tctp
FBgn0037875	FBgn0037875	ZnT86D
FBgn0086472	FBgn0086472	RpS25
FBgn0037876	FBgn0037876	CG4820
FBgn0037877	FBgn0037877	CG6689
FBgn0037878	FBgn0037878	CG6693
FBgn0020910	FBgn0020910	RpL3
FBgn0065064	FBgn0065064	snoRNA:Ψ28S-291
FBgn0086057	FBgn0086057	snoRNA:Me28S-G2017
FBgn0037880	FBgn0037880	CG17726
FBgn0037881	FBgn0037881	GCC88
FBgn0037882	FBgn0037882	CG17187
FBgn0037883	FBgn0037883	Dph3
FBgn0037884	FBgn0037884	Arfip
FBgn0037885	FBgn0037885	CG17721
FBgn0051441	FBgn0051441	CG31441
FBgn0051388	FBgn0051388	CG31388
FBgn0037890	FBgn0037890	CG17734
FBgn0037891	FBgn0037891	CG5214
FBgn0037892	FBgn0037892	mRpL40
FBgn0264694	FBgn0264694	mgr
FBgn0011774	FBgn0011774	Irbp
FBgn0037894	FBgn0037894	Ipo9
FBgn0037897	FBgn0037897	CG5270
FBgn0037898	FBgn0037898	Dtd
FBgn0037899	FBgn0037899	RpL24-like
FBgn0037900	FBgn0037900	CG5276
FBgn0037901	FBgn0037901	Exd2
FBgn0037902	FBgn0037902	CG5281
FBgn0051374	FBgn0051374	sals
FBgn0046225	FBgn0046225	CG17230
FBgn0266416	FBgn0266416	asRNA:CR45056
FBgn0037911	FBgn0037911	CG10898
FBgn0037913	FBgn0037913	fabp
FBgn0263316	FBgn0263316	Mrp4
FBgn0037917	FBgn0037917	wkd
FBgn0037918	FBgn0037918	CG6791
FBgn0051363	FBgn0051363	Jupiter
FBgn0037920	FBgn0037920	CG14710
FBgn0037921	FBgn0037921	Zaf1
FBgn0037923	FBgn0037923	CG6813
FBgn0042205	FBgn0042205	CG18764
FBgn0037924	FBgn0037924	CG14712
FBgn0262081	FBgn0262081	Csk
FBgn0037926	FBgn0037926	Elp1
FBgn0259227	FBgn0259227	CG42327
FBgn0037930	FBgn0037930	CG14715
FBgn0037931	FBgn0037931	CG18476
FBgn0011290	FBgn0011290	Taf12
FBgn0037933	FBgn0037933	Ho
FBgn0037940	FBgn0037940	CG14720
FBgn0037942	FBgn0037942	CG14721
FBgn0002906	FBgn0002906	Blm
FBgn0037943	FBgn0037943	CG14722
FBgn0037944	FBgn0037944	CG6923
FBgn0017581	FBgn0017581	Lk6
FBgn0265276	FBgn0265276	l(3)neo38
FBgn0037949	FBgn0037949	prd1
FBgn0025802	FBgn0025802	Sbf
FBgn0259139	FBgn0259139	glo
FBgn0019624	FBgn0019624	COX5A
FBgn0037955	FBgn0037955	Kyat
FBgn0037956	FBgn0037956	CG6959
FBgn0037958	FBgn0037958	CG6962
FBgn0051368	FBgn0051368	CG31368
FBgn0037960	FBgn0037960	mthl5
FBgn0037963	FBgn0037963	Cad87A
FBgn0051211	FBgn0051211	CG31211
FBgn0260741	FBgn0260741	CG3281
FBgn0000147	FBgn0000147	aurA
FBgn0260742	FBgn0260742	CG12213
FBgn0260743	FBgn0260743	GC1
FBgn0260744	FBgn0260744	Tango9
FBgn0037972	FBgn0037972	CG10005
FBgn0264984	FBgn0264984	lncRNA:CR44135
FBgn0037973	FBgn0037973	CG18547
FBgn0037974	FBgn0037974	CG12224
FBgn0037975	FBgn0037975	CG3397
FBgn0260745	FBgn0260745	mfas
FBgn0260746	FBgn0260746	Ect3
FBgn0037978	FBgn0037978	KLHL18
FBgn0037979	FBgn0037979	GCC185
FBgn0037980	FBgn0037980	DCAF12
FBgn0037981	FBgn0037981	Spt3
FBgn0037992	FBgn0037992	CG4702
FBgn0037998	FBgn0037998	Cog1
FBgn0037999	FBgn0037999	CG4860
FBgn0003651	FBgn0003651	svp
FBgn0038013	FBgn0038013	CG10038
FBgn0038016	FBgn0038016	MBD-R2
FBgn0038017	FBgn0038017	CG4115
FBgn0042206	FBgn0042206	GstD10
FBgn0038020	FBgn0038020	GstD9
FBgn0001149	FBgn0001149	GstD1
FBgn0010038	FBgn0010038	GstD2
FBgn0010039	FBgn0010039	GstD3
